Player,1stServe%,1st_Serve%_Points_Won,2nd_Serve%_Points_Won,Service%_Games_Won,Avg_Aces/Match,Avg_Double_Faults/Match,Age,Height,Gender
 Kiki Bertens,58.4,71.5,49.6,75.4,6.9,3.5,27.0,182.0,Female
 Petra Kvitova,60.5,71.9,48.1,79.4,4.9,5.0,29.0,182.0,Female
 Viktoria Kuzmova,56.2,69.2,44.8,67.6,6.7,4.7,20.0,180.0,Female
 Naomi Osaka,61.8,71.3,47.3,77.6,7.2,1.9,21.0,180.0,Female
 Ashleigh Barty,58.7,72.4,50.2,79.4,5.8,3.2,22.0,166.0,Female
 Julia Goerges,52.7,70.6,49.3,74.5,6.0,4.3,30.0,180.0,Female
 Ekaterina Alexandrova,59.3,68.0,42.3,67.7,5.6,5.8,24.0,NA,Female
 Elina Svitolina,60.7,66.5,45.7,69.7,4.3,2.9,24.0,174.0,Female
 Kristyna Pliskova,56.0,68.6,43.0,66.7,7.3,4.5,27.0,184.0,Female
 Donna Vekic,57.3,68.0,47.7,72.5,3.7,4.6,22.0,179.0,Female
 Aryna Sabalenka,63.8,65.5,48.1,71.6,3.5,3.9,20.0,182.0,Female
 Madison Keys,64.1,67.5,44.6,71.6,5.9,2.3,24.0,178.0,Female
 Belinda Bencic,65.7,66.3,44.8,70.8,2.7,4.3,22.0,175.0,Female
 Ajla Tomljanovic,60.3,65.9,42.7,65.3,3.2,4.3,25.0,180.0,Female
 Danielle Collins,54.5,64.2,49.4,66.5,3.7,3.1,25.0,178.0,Female
 Garbi—e Muguruza,64.5,64.2,47.7,70.8,2.9,2.2,25.0,182.0,Female
 Aliaksandra Sasnovich,57.9,62.5,40.4,57.1,3.7,4.7,25.0,174.0,Female
 Victoria Azarenka,61.9,64.0,41.6,61.9,3.6,4.0,29.0,183.0,Female
 Elise Mertens,60.2,62.3,46.5,65.2,2.9,3.9,23.0,179.0,Female
 Bianca Andreescu,60.7,65.1,50.6,74.3,2.4,4.0,18.0,170.0,Female
 Dayana Yastremska,58.3,65.3,47.6,69.3,3.5,5.3,18.0,175.0,Female
 Astra Sharma,60.2,68.8,45.1,74.2,6.4,5.5,23.0,NA,Female
 Mona Barthel,56.5,66.4,40.6,63.2,4.6,7.2,28.0,185.0,Female
 Samantha Stosur,58.1,65.6,40.3,61.8,5.6,5.7,35.0,175.0,Female
 Alison Van Uytvanck,65.6,63.2,43.1,66.7,3.3,1.6,25.0,173.0,Female
 Johanna Konta,68.9,66.7,47.8,77.4,4.1,1.4,27.0,180.0,Female
 Serena Williams,58.6,72.6,45.9,75.0,5.9,2.8,37.0,175.0,Female
 Tatjana Maria,53.9,66.9,45.2,66.4,3.6,2.4,31.0,172.0,Female
 Simona Halep,67.8,65.2,47.6,68.5,2.3,3.3,27.0,168.0,Female
 Sofia Kenin,66.6,64.2,46.2,70.4,2.1,4.3,20.0,170.0,Female
 Anett Kontaveit,66.5,62.0,46.4,66.0,2.5,2.1,23.0,174.0,Female
 Maria Sakkari,60.7,61.1,43.2,59.9,3.4,3.7,23.0,172.0,Female
 Ons Jabeur,53.3,65.9,44.1,62.5,3.9,3.5,24.0,167.0,Female
 Caroline Garcia,67.7,62.8,50.2,70.3,3.5,2.0,25.0,177.0,Female
 Iga Swiatek,53.2,69.2,50.7,72.6,4.4,3.1,17.0,NA,Female
 Anastasia Pavlyuchenkova,64.2,65.7,42.0,67.7,2.4,3.7,27.0,177.0,Female
 Timea Babos,60.3,65.2,39.8,60.5,3.5,4.6,25.0,179.0,Female
 Veronika Kudermetova,58.2,63.6,48.3,65.0,3.8,2.4,21.0,175.0,Female
 Jennifer Brady,50.3,75.9,45.8,75.3,4.5,3.0,24.0,178.0,Female
